,TF,Humidity,Windspeed,weather,Date,hour,cnt
4562,76F,91%,6mph,Cloudy,2017-07-11,5,122
4563,78F,84%,9mph,Cloudy,2017-07-11,6,457
4564,81F,77%,7mph,Mostly Cloudy,2017-07-11,7,1064
4565,83F,79%,10mph,Mostly Cloudy,2017-07-11,8,1374
4566,85F,72%,10mph,Cloudy,2017-07-11,9,624
4567,85F,67%,12mph,Cloudy,2017-07-11,10,458
4568,85F,65%,8mph,Cloudy,2017-07-11,11,451
4569,85F,69%,7mph,Cloudy,2017-07-11,12,578
4570,89F,57%,9mph,Cloudy,2017-07-11,13,504
4571,91F,48%,14mph,Partly Cloudy,2017-07-11,14,501
4572,92F,44%,15mph,Mostly Cloudy,2017-07-11,15,614
4573,90F,46%,15mph,Cloudy,2017-07-11,16,923
4574,89F,52%,12mph,Mostly Cloudy,2017-07-11,17,1735
4575,87F,53%,9mph,Mostly Cloudy,2017-07-11,18,1443
4576,86F,57%,0mph,Mostly Cloudy,2017-07-11,19,965
4577,83F,72%,3mph,Mostly Cloudy,2017-07-11,20,730
4578,82F,76%,7mph,Cloudy,2017-07-11,21,530
4579,81F,69%,5mph,Mostly Cloudy,2017-07-11,22,349
4580,81F,67%,6mph,Cloudy,2017-07-12,23,188
4581,80F,69%,5mph,Cloudy,2017-07-12,0,79
4582,80F,69%,3mph,Cloudy,2017-07-12,1,18
4583,79F,72%,5mph,Cloudy,2017-07-12,2,14
4584,78F,76%,5mph,Cloudy,2017-07-12,3,7
4585,78F,79%,7mph,Cloudy,2017-07-12,4,15
4586,79F,72%,7mph,Cloudy,2017-07-12,5,128
4587,83F,58%,12mph,Cloudy,2017-07-12,6,451
4588,85F,57%,13mph,Cloudy,2017-07-12,7,1055
4589,88F,51%,8mph,Mostly Cloudy,2017-07-12,8,1239
4590,91F,50%,8mph,Mostly Cloudy,2017-07-12,9,628
4591,89F,52%,10mph,Mostly Cloudy,2017-07-12,10,433
4592,93F,47%,8mph,Partly Cloudy,2017-07-12,11,474
4593,92F,47%,6mph,Mostly Cloudy,2017-07-12,12,549
4594,93F,47%,8mph,Cloudy,2017-07-12,13,547
4595,93F,49%,13mph,Cloudy,2017-07-12,14,525
4596,94F,46%,13mph,Cloudy,2017-07-12,15,625
4597,94F,44%,10mph,Cloudy,2017-07-12,16,972
4598,93F,44%,12mph,Mostly Cloudy,2017-07-12,17,1647
4599,92F,48%,9mph,Cloudy,2017-07-12,18,1348
4600,90F,54%,7mph,Mostly Cloudy,2017-07-12,19,897
4601,85F,77%,5mph,Partly Cloudy,2017-07-12,20,781
4602,84F,79%,0mph,Partly Cloudy,2017-07-12,21,520
4603,83F,77%,6mph,Mostly Cloudy,2017-07-12,22,345
4604,83F,77%,6mph,Mostly Cloudy,2017-07-13,23,229
4605,83F,79%,8mph,Cloudy,2017-07-13,0,92
4606,81F,88%,8mph,Cloudy,2017-07-13,1,35
4607,81F,79%,8mph,Mostly Cloudy,2017-07-13,2,15
4608,80F,79%,5mph,Partly Cloudy,2017-07-13,3,4
4609,79F,82%,6mph,Partly Cloudy,2017-07-13,4,18
4610,80F,79%,7mph,Partly Cloudy,2017-07-13,5,124
4611,82F,74%,5mph,Partly Cloudy,2017-07-13,6,427
4612,84F,74%,9mph,Partly Cloudy,2017-07-13,7,999
4613,87F,69%,9mph,Partly Cloudy,2017-07-13,8,1191
4614,89F,65%,9mph,Mostly Cloudy,2017-07-13,9,536
4615,94F,47%,13mph,Cloudy,2017-07-13,10,359
4616,93F,50%,10mph,Cloudy,2017-07-13,11,437
4617,95F,47%,9mph,Cloudy,2017-07-13,12,528
4618,95F,50%,9mph,Cloudy,2017-07-13,13,480
4619,94F,52%,15mph,Cloudy,2017-07-13,14,471
4620,94F,54%,14mph,Mostly Cloudy,2017-07-13,15,571
4621,95F,49%,14mph,Mostly Cloudy,2017-07-13,16,842
4622,94F,47%,12mph,Mostly Cloudy,2017-07-13,17,1450
4623,92F,54%,9mph,Mostly Cloudy,2017-07-13,18,1264
4624,90F,57%,7mph,Mostly Cloudy,2017-07-13,19,946
4625,89F,59%,6mph,Mostly Cloudy,2017-07-13,20,735
4626,87F,61%,7mph,Cloudy,2017-07-13,21,505
4627,85F,67%,6mph,Partly Cloudy,2017-07-13,22,401
4628,86F,59%,5mph,Cloudy,2017-07-14,23,274
4629,85F,61%,5mph,Mostly Cloudy,2017-07-14,0,95
4630,83F,88%,6mph,Cloudy,2017-07-14,1,58
4631,81F,85%,6mph,Mostly Cloudy,2017-07-14,2,34
4632,80F,85%,8mph,Fair,2017-07-14,3,9
4633,79F,90%,7mph,Mostly Cloudy,2017-07-14,4,18
4634,79F,90%,3mph,Cloudy,2017-07-14,5,106
4635,81F,88%,7mph,Mostly Cloudy,2017-07-14,6,362
4636,83F,85%,7mph,Mostly Cloudy,2017-07-14,7,822
4637,86F,77%,8mph,Cloudy,2017-07-14,8,1161
4638,89F,70%,12mph,Fair,2017-07-14,9,548
4639,90F,68%,9mph,Mostly Cloudy,2017-07-14,10,424
4640,92F,64%,10mph,Mostly Cloudy,2017-07-14,11,479
4641,97F,43%,16mph,Mostly Cloudy,2017-07-14,12,613
4642,94F,54%,10mph,Mostly Cloudy,2017-07-14,13,602
4643,94F,56%,10mph,Mostly Cloudy,2017-07-14,14,519
4644,78F,84%,35mph,Heavy T-Storm / Windy,2017-07-14,15,718
4645,74F,93%,5mph,Light Rain with Thunder,2017-07-14,16,616
4646,77F,88%,3mph,Light Rain,2017-07-14,17,637
4647,77F,88%,3mph,Cloudy,2017-07-14,18,417
4648,77F,88%,6mph,Mostly Cloudy,2017-07-14,19,499
4649,76F,94%,3mph,Mostly Cloudy,2017-07-14,20,518
4650,77F,88%,7mph,Cloudy,2017-07-14,21,431
4651,76F,94%,5mph,Partly Cloudy,2017-07-14,22,352
4652,77F,90%,6mph,Mostly Cloudy,2017-07-15,23,347
4653,76F,97%,5mph,Cloudy,2017-07-15,0,213
4654,76F,97%,0mph,Partly Cloudy,2017-07-15,1,137
4655,76F,97%,5mph,Partly Cloudy,2017-07-15,2,86
4656,76F,94%,8mph,Mostly Cloudy,2017-07-15,3,48
4657,76F,91%,8mph,Cloudy,2017-07-15,4,24
4658,77F,88%,6mph,Cloudy,2017-07-15,5,24
4659,79F,77%,6mph,Mostly Cloudy,2017-07-15,6,79
4660,80F,69%,8mph,Mostly Cloudy,2017-07-15,7,210
4661,83F,65%,14mph,Mostly Cloudy,2017-07-15,8,410
4662,83F,65%,14mph,Mostly Cloudy,2017-07-15,9,654
4663,86F,57%,13mph,Mostly Cloudy,2017-07-15,10,918
4664,88F,49%,14mph,Mostly Cloudy,2017-07-15,11,1037
4665,88F,45%,15mph,Mostly Cloudy,2017-07-15,12,1120
4666,88F,46%,13mph,Mostly Cloudy,2017-07-15,13,1080
4667,89F,40%,10mph,Mostly Cloudy,2017-07-15,14,1121
4668,88F,43%,13mph,Partly Cloudy,2017-07-15,15,1049
4669,88F,42%,8mph,Fair,2017-07-15,16,1174
4670,87F,43%,12mph,Fair,2017-07-15,17,1061
4671,85F,46%,12mph,Fair,2017-07-15,18,982
4672,83F,51%,10mph,Fair,2017-07-15,19,921
4673,81F,54%,10mph,Partly Cloudy,2017-07-15,20,782
4674,80F,56%,9mph,Partly Cloudy,2017-07-15,21,582
4675,79F,56%,9mph,Mostly Cloudy,2017-07-15,22,410
4676,77F,62%,7mph,Partly Cloudy,2017-07-16,23,178
4677,76F,64%,9mph,Partly Cloudy,2017-07-16,0,270
4678,75F,66%,9mph,Partly Cloudy,2017-07-16,1,167
4679,72F,73%,7mph,Partly Cloudy,2017-07-16,2,102
4680,73F,68%,0mph,Fair,2017-07-16,3,72
4681,71F,75%,6mph,Fair,2017-07-16,4,26
4682,73F,76%,3mph,Fair,2017-07-16,5,27
4683,76F,64%,5mph,Fair,2017-07-16,6,69
4684,78F,62%,7mph,Fair,2017-07-16,7,146
4685,80F,52%,6mph,Fair,2017-07-16,8,382
4686,82F,52%,6mph,Fair,2017-07-16,9,591
4687,84F,49%,9mph,Partly Cloudy,2017-07-16,10,874
4688,85F,49%,9mph,Partly Cloudy,2017-07-16,11,972
4689,85F,49%,10mph,Mostly Cloudy,2017-07-16,12,1058
4690,86F,48%,7mph,Partly Cloudy,2017-07-16,13,1123
4691,89F,45%,3mph,Partly Cloudy,2017-07-16,14,1090
4692,88F,46%,7mph,Mostly Cloudy,2017-07-16,15,1097
4693,88F,46%,5mph,Partly Cloudy,2017-07-16,16,1055
4694,87F,44%,3mph,Partly Cloudy,2017-07-16,17,986
4695,85F,59%,10mph,Partly Cloudy,2017-07-16,18,901
4696,82F,67%,8mph,Partly Cloudy,2017-07-16,19,839
4697,81F,72%,10mph,Partly Cloudy,2017-07-16,20,767
4698,80F,74%,9mph,Partly Cloudy,2017-07-16,21,415
4699,80F,71%,9mph,Partly Cloudy,2017-07-16,22,377
4700,79F,77%,9mph,Mostly Cloudy,2017-07-17,23,161
4701,79F,79%,6mph,Mostly Cloudy,2017-07-17,0,66
4702,77F,84%,5mph,Mostly Cloudy,2017-07-17,1,37
4703,77F,88%,8mph,Partly Cloudy,2017-07-17,2,21
4704,77F,90%,5mph,Partly Cloudy,2017-07-17,3,5
4705,76F,94%,5mph,Mostly Cloudy,2017-07-17,4,13
4706,77F,90%,5mph,Cloudy,2017-07-17,5,120
4707,78F,87%,5mph,Mostly Cloudy,2017-07-17,6,413
4708,79F,84%,6mph,Mostly Cloudy,2017-07-17,7,895
4709,82F,76%,5mph,Mostly Cloudy,2017-07-17,8,1083
4710,85F,72%,7mph,Mostly Cloudy,2017-07-17,9,555
4711,87F,63%,9mph,Mostly Cloudy,2017-07-17,10,402
4712,87F,59%,9mph,Mostly Cloudy,2017-07-17,11,452
4713,87F,61%,12mph,Mostly Cloudy,2017-07-17,12,524
4714,88F,57%,10mph,Thunder,2017-07-17,13,457
4715,89F,55%,9mph,Mostly Cloudy,2017-07-17,14,298
4716,90F,46%,12mph,Mostly Cloudy,2017-07-17,15,464
4717,87F,59%,8mph,Thunder,2017-07-17,16,928
4718,87F,61%,6mph,Partly Cloudy,2017-07-17,17,1647
4719,83F,79%,16mph,Mostly Cloudy,2017-07-17,18,1252
4720,83F,72%,13mph,Cloudy,2017-07-17,19,1031
4721,81F,77%,8mph,Mostly Cloudy,2017-07-17,20,795
4722,80F,81%,10mph,Mostly Cloudy,2017-07-17,21,540
4723,80F,81%,5mph,Mostly Cloudy,2017-07-17,22,319
4724,79F,88%,8mph,Mostly Cloudy,2017-07-18,23,194
4725,79F,90%,9mph,Mostly Cloudy,2017-07-18,0,64
4726,78F,90%,6mph,Mostly Cloudy,2017-07-18,1,25
4727,78F,90%,7mph,Mostly Cloudy,2017-07-18,2,21
4728,78F,90%,7mph,Mostly Cloudy,2017-07-18,3,6
4729,77F,88%,8mph,Fair,2017-07-18,5,134
4730,80F,76%,3mph,Fair,2017-07-18,6,453
4731,81F,79%,5mph,Fair,2017-07-18,7,1076
4732,83F,74%,3mph,Fair,2017-07-18,8,1309
4733,85F,72%,7mph,Partly Cloudy,2017-07-18,9,535
4734,88F,63%,7mph,Partly Cloudy,2017-07-18,10,424
4735,90F,61%,8mph,Partly Cloudy,2017-07-18,11,480
4736,90F,63%,15mph,Mostly Cloudy,2017-07-18,12,547
4737,91F,57%,14mph,Mostly Cloudy,2017-07-18,13,518
4738,91F,52%,8mph,Mostly Cloudy,2017-07-18,14,455
4739,91F,55%,13mph,Cloudy,2017-07-18,15,610
4740,82F,65%,9mph,Mostly Cloudy,2017-07-18,16,893
4741,83F,69%,3mph,Mostly Cloudy,2017-07-18,17,1161
4742,83F,72%,0mph,Partly Cloudy,2017-07-18,18,1287
4743,83F,74%,8mph,Partly Cloudy,2017-07-18,19,1059
4744,83F,77%,8mph,Partly Cloudy,2017-07-18,20,790
4745,82F,79%,8mph,Partly Cloudy,2017-07-18,21,549
4746,81F,85%,8mph,Partly Cloudy,2017-07-18,22,315
4747,81F,85%,6mph,Partly Cloudy,2017-07-19,23,175
4748,80F,87%,7mph,Partly Cloudy,2017-07-19,0,63
4749,79F,88%,6mph,Partly Cloudy,2017-07-19,1,27
4750,79F,84%,5mph,Partly Cloudy,2017-07-19,2,13
4751,78F,90%,3mph,Fair,2017-07-19,3,6
4752,77F,90%,5mph,Partly Cloudy,2017-07-19,4,16
4753,78F,87%,5mph,Fair,2017-07-19,5,136
4754,81F,82%,0mph,Fair,2017-07-19,6,433
4755,82F,79%,3mph,Fair,2017-07-19,7,1027
4756,85F,74%,6mph,Partly Cloudy,2017-07-19,8,1326
4757,88F,65%,6mph,Partly Cloudy,2017-07-19,9,579
4758,91F,52%,6mph,Fair,2017-07-19,10,379
4759,92F,47%,6mph,Fair,2017-07-19,11,391
4760,93F,52%,10mph,Fair,2017-07-19,12,515
4761,91F,55%,10mph,Partly Cloudy,2017-07-19,13,493
4762,94F,51%,10mph,Mostly Cloudy,2017-07-19,14,468
4763,96F,36%,5mph,Mostly Cloudy,2017-07-19,15,514
4764,95F,44%,5mph,Mostly Cloudy,2017-07-19,16,886
4765,93F,45%,10mph,Partly Cloudy,2017-07-19,17,1584
4766,91F,50%,12mph,Partly Cloudy,2017-07-19,18,1382
4767,89F,53%,8mph,Partly Cloudy,2017-07-19,19,1035
4768,86F,70%,10mph,Partly Cloudy,2017-07-19,20,831
4769,85F,72%,7mph,Fair,2017-07-19,21,548
4770,84F,76%,7mph,Fair,2017-07-19,22,339
4771,83F,79%,8mph,Mostly Cloudy,2017-07-20,23,221
4772,82F,82%,6mph,Mostly Cloudy,2017-07-20,0,101
4773,81F,85%,5mph,Mostly Cloudy,2017-07-20,1,19
4774,81F,82%,5mph,Partly Cloudy,2017-07-20,2,19
4775,80F,81%,6mph,Fair,2017-07-20,3,14
4776,79F,84%,5mph,Mostly Cloudy,2017-07-20,4,19
4777,81F,79%,0mph,Mostly Cloudy,2017-07-20,5,117
4778,83F,74%,0mph,Mostly Cloudy,2017-07-20,6,390
4779,87F,65%,7mph,Mostly Cloudy,2017-07-20,7,956
4780,91F,55%,7mph,Mostly Cloudy,2017-07-20,8,1224
4781,92F,52%,8mph,Mostly Cloudy,2017-07-20,9,593
4782,94F,49%,6mph,Mostly Cloudy,2017-07-20,10,380
4783,95F,44%,7mph,Partly Cloudy,2017-07-20,11,423
4784,97F,39%,8mph,Partly Cloudy,2017-07-20,12,504
4785,96F,40%,7mph,Mostly Cloudy,2017-07-20,13,455
4786,96F,40%,10mph,Cloudy,2017-07-20,14,466
4787,97F,39%,10mph,Mostly Cloudy,2017-07-20,15,534
4788,97F,34%,9mph,Cloudy,2017-07-20,16,850
4789,95F,40%,10mph,Cloudy,2017-07-20,17,1490
4790,91F,63%,8mph,Mostly Cloudy,2017-07-20,18,1281
4791,89F,65%,8mph,Mostly Cloudy,2017-07-20,19,933
4792,88F,70%,9mph,Mostly Cloudy,2017-07-20,20,745
4793,87F,69%,7mph,Mostly Cloudy,2017-07-20,21,577
4794,86F,77%,6mph,Cloudy,2017-07-20,22,362
4795,85F,80%,0mph,Mostly Cloudy,2017-07-21,23,294
4796,86F,59%,8mph,Fair,2017-07-21,0,116
4797,85F,59%,7mph,Cloudy,2017-07-21,1,53
4798,86F,57%,6mph,Cloudy,2017-07-21,2,24
4799,84F,67%,0mph,Partly Cloudy,2017-07-21,3,13
4800,82F,71%,3mph,Mostly Cloudy,2017-07-21,4,17
4801,84F,63%,6mph,Mostly Cloudy,2017-07-21,5,98
4802,86F,61%,8mph,Mostly Cloudy,2017-07-21,6,392
4803,88F,59%,12mph,Mostly Cloudy,2017-07-21,7,823
4804,89F,57%,9mph,Partly Cloudy,2017-07-21,8,1145
4805,92F,50%,3mph,Partly Cloudy,2017-07-21,9,590
4806,91F,50%,5mph,Partly Cloudy,2017-07-21,10,458
4807,92F,50%,6mph,Mostly Cloudy,2017-07-21,11,524
4808,93F,52%,9mph,Mostly Cloudy,2017-07-21,12,616
4809,93F,52%,0mph,Cloudy,2017-07-21,13,604
4810,95F,46%,8mph,Mostly Cloudy,2017-07-21,14,598
4811,96F,44%,7mph,Mostly Cloudy,2017-07-21,15,756
4812,94F,46%,6mph,Mostly Cloudy,2017-07-21,16,1025
4813,93F,49%,5mph,Mostly Cloudy,2017-07-21,17,1360
4814,91F,57%,7mph,Mostly Cloudy,2017-07-21,18,1128
4815,90F,63%,6mph,Mostly Cloudy,2017-07-21,19,836
4816,90F,63%,8mph,Mostly Cloudy,2017-07-21,20,643
4817,88F,70%,5mph,Cloudy,2017-07-21,21,476
4818,87F,69%,9mph,Mostly Cloudy,2017-07-21,22,350
4819,84F,74%,9mph,Cloudy,2017-07-22,23,169
4820,83F,72%,10mph,Cloudy,2017-07-22,0,183
4821,82F,76%,10mph,Cloudy,2017-07-22,1,127
4822,81F,79%,9mph,Cloudy,2017-07-22,2,104
4823,81F,79%,7mph,Cloudy,2017-07-22,3,34
4824,80F,79%,9mph,Cloudy,2017-07-22,4,24
4825,80F,79%,12mph,Cloudy,2017-07-22,5,39
4826,81F,77%,10mph,Cloudy,2017-07-22,6,84
4827,84F,72%,6mph,Cloudy,2017-07-22,7,210
4828,86F,65%,3mph,Cloudy,2017-07-22,8,392
4829,89F,59%,5mph,Cloudy,2017-07-22,9,688
4830,92F,52%,5mph,Cloudy,2017-07-22,10,846
4831,93F,47%,0mph,Cloudy,2017-07-22,11,973
4832,94F,44%,13mph,Mostly Cloudy,2017-07-22,12,1019
4833,79F,72%,24mph,Heavy T-Storm / Windy,2017-07-22,13,933
4834,78F,84%,6mph,Cloudy,2017-07-22,14,615
4835,82F,74%,5mph,Mostly Cloudy,2017-07-22,15,531
4836,82F,69%,17mph,Thunder,2017-07-22,16,856
4837,76F,85%,0mph,Light Rain,2017-07-22,17,739
4838,77F,82%,0mph,Cloudy,2017-07-22,18,270
4839,76F,91%,8mph,Light Rain,2017-07-22,19,299
4840,76F,94%,16mph,Heavy T-Storm,2017-07-22,20,422
4841,75F,96%,0mph,Heavy T-Storm,2017-07-22,21,304
4842,75F,96%,8mph,Cloudy,2017-07-22,22,167
4843,75F,96%,5mph,Light Rain,2017-07-23,23,21
4844,75F,96%,5mph,Light Rain,2017-07-23,0,147
4845,76F,97%,5mph,Cloudy,2017-07-23,1,105
4846,75F,96%,6mph,Mostly Cloudy,2017-07-23,2,71
4847,75F,96%,3mph,Cloudy,2017-07-23,3,38
4848,75F,100%,0mph,Mostly Cloudy,2017-07-23,4,12
4849,76F,97%,0mph,Mostly Cloudy,2017-07-23,5,18
4850,77F,94%,0mph,Cloudy,2017-07-23,6,70
4851,80F,85%,0mph,Cloudy,2017-07-23,7,166
4852,82F,82%,3mph,Cloudy,2017-07-23,8,320
4853,85F,72%,0mph,Mostly Cloudy,2017-07-23,9,629
4854,88F,59%,12mph,Mostly Cloudy,2017-07-23,10,914
4855,89F,61%,5mph,Cloudy,2017-07-23,11,953
4856,83F,79%,14mph,Heavy Rain,2017-07-23,12,1094
4857,82F,90%,9mph,Mostly Cloudy,2017-07-23,13,993
4858,80F,87%,10mph,Mostly Cloudy,2017-07-23,14,876
4859,82F,85%,6mph,Cloudy,2017-07-23,15,985
4860,84F,79%,3mph,Mostly Cloudy,2017-07-23,16,748
4861,73F,100%,15mph,Heavy T-Storm,2017-07-23,17,868
4862,77F,84%,0mph,Mostly Cloudy,2017-07-23,18,435
4863,78F,84%,0mph,Mostly Cloudy,2017-07-23,19,495
4864,77F,90%,0mph,Cloudy,2017-07-23,20,522
4865,78F,93%,5mph,Light Rain with Thunder,2017-07-23,21,329
4866,76F,94%,16mph,Light Rain with Thunder,2017-07-23,22,241
4867,76F,91%,10mph,Cloudy,2017-07-24,23,138
4868,74F,93%,5mph,Mostly Cloudy,2017-07-24,0,34
4869,77F,90%,8mph,Cloudy,2017-07-24,1,21
4870,76F,91%,5mph,Mostly Cloudy,2017-07-24,2,17
4871,76F,91%,6mph,Cloudy,2017-07-24,3,3
4872,78F,81%,3mph,Mostly Cloudy,2017-07-24,4,16
4873,77F,88%,8mph,Light Rain,2017-07-24,5,103
4874,78F,84%,6mph,Mostly Cloudy,2017-07-24,6,340
4875,81F,72%,8mph,Cloudy,2017-07-24,7,817
4876,82F,69%,12mph,Cloudy,2017-07-24,8,1103
4877,85F,59%,9mph,Partly Cloudy,2017-07-24,9,601
4878,86F,57%,12mph,Partly Cloudy,2017-07-24,10,414
4879,87F,57%,6mph,Mostly Cloudy,2017-07-24,11,458
4880,90F,50%,6mph,Cloudy,2017-07-24,12,541
4881,89F,50%,10mph,Cloudy,2017-07-24,13,516
4882,90F,46%,0mph,Cloudy,2017-07-24,14,561
4883,88F,61%,12mph,Mostly Cloudy,2017-07-24,15,620
4884,85F,72%,7mph,Mostly Cloudy,2017-07-24,16,995
4885,85F,74%,7mph,Mostly Cloudy,2017-07-24,17,1478
4886,85F,72%,7mph,Partly Cloudy,2017-07-24,18,1282
4887,85F,72%,8mph,Mostly Cloudy,2017-07-24,19,970
4888,85F,69%,7mph,Mostly Cloudy,2017-07-24,20,725
4889,83F,67%,15mph,Mostly Cloudy,2017-07-24,21,470
4890,81F,69%,13mph,Cloudy,2017-07-24,22,296
4891,79F,72%,13mph,Mostly Cloudy,2017-07-25,23,196
4892,79F,62%,13mph,Cloudy,2017-07-25,0,86
4893,77F,62%,16mph,Cloudy,2017-07-25,1,40
4894,75F,62%,10mph,Cloudy,2017-07-25,2,11
4895,73F,64%,13mph,Mostly Cloudy,2017-07-25,3,10
4896,72F,61%,10mph,Mostly Cloudy,2017-07-25,4,22
4897,71F,61%,9mph,Cloudy,2017-07-25,5,121
4898,72F,61%,9mph,Mostly Cloudy,2017-07-25,6,456
4899,74F,59%,15mph,Partly Cloudy,2017-07-25,7,1049
4900,76F,58%,14mph,Partly Cloudy,2017-07-25,8,1270
4901,78F,56%,12mph,Partly Cloudy,2017-07-25,9,680
4902,78F,56%,12mph,Mostly Cloudy,2017-07-25,10,433
4903,79F,56%,10mph,Cloudy,2017-07-25,11,469
4904,81F,52%,8mph,Mostly Cloudy,2017-07-25,12,619
4905,79F,56%,10mph,Mostly Cloudy,2017-07-25,13,663
4906,80F,56%,15mph,Mostly Cloudy,2017-07-25,14,612
4907,82F,52%,10mph,Mostly Cloudy,2017-07-25,15,745
4908,80F,54%,13mph,Mostly Cloudy,2017-07-25,16,1052
4909,80F,52%,10mph,Partly Cloudy,2017-07-25,17,1866
4910,78F,56%,12mph,Mostly Cloudy,2017-07-25,18,1668
4911,77F,62%,9mph,Mostly Cloudy,2017-07-25,19,1116
4912,75F,64%,12mph,Partly Cloudy,2017-07-25,20,803
4913,75F,66%,9mph,Fair,2017-07-25,21,583
4914,74F,68%,8mph,Fair,2017-07-25,22,404
4915,74F,68%,8mph,Fair,2017-07-26,23,228
4916,73F,71%,9mph,Fair,2017-07-26,0,97
4917,72F,73%,8mph,Fair,2017-07-26,1,48
4918,71F,75%,9mph,Partly Cloudy,2017-07-26,2,28
4919,69F,81%,9mph,Partly Cloudy,2017-07-26,3,3
4920,69F,84%,5mph,Mostly Cloudy,2017-07-26,4,17
4921,70F,84%,6mph,Partly Cloudy,2017-07-26,5,139
4922,72F,81%,7mph,Partly Cloudy,2017-07-26,6,475
4923,75F,76%,3mph,Mostly Cloudy,2017-07-26,7,1106
4924,77F,74%,0mph,Partly Cloudy,2017-07-26,8,1349
4925,78F,60%,0mph,Partly Cloudy,2017-07-26,9,734
4926,81F,54%,3mph,Partly Cloudy,2017-07-26,10,458
4927,83F,46%,5mph,Partly Cloudy,2017-07-26,11,593
4928,83F,49%,6mph,Partly Cloudy,2017-07-26,12,710
4929,83F,51%,5mph,Partly Cloudy,2017-07-26,13,646
4930,85F,48%,5mph,Mostly Cloudy,2017-07-26,14,629
4931,84F,46%,0mph,Mostly Cloudy,2017-07-26,15,735
4932,85F,46%,8mph,Partly Cloudy,2017-07-26,16,1069
4933,84F,46%,9mph,Partly Cloudy,2017-07-26,17,1866
4934,81F,67%,14mph,Partly Cloudy,2017-07-26,18,1640
4935,79F,69%,12mph,Partly Cloudy,2017-07-26,19,1077
4936,77F,76%,8mph,Fair,2017-07-26,20,851
4937,76F,85%,9mph,Partly Cloudy,2017-07-26,21,597
4938,75F,87%,7mph,Partly Cloudy,2017-07-26,22,454
4939,74F,87%,7mph,Partly Cloudy,2017-07-27,23,225
4940,74F,87%,12mph,Cloudy,2017-07-27,0,118
4941,74F,87%,9mph,Fair,2017-07-27,1,52
4942,74F,85%,9mph,Mostly Cloudy,2017-07-27,2,31
4943,73F,87%,8mph,Mostly Cloudy,2017-07-27,3,2
4944,73F,84%,13mph,Cloudy,2017-07-27,4,16
4945,73F,84%,12mph,Cloudy,2017-07-27,5,121
4946,74F,85%,10mph,Cloudy,2017-07-27,6,406
4947,76F,82%,10mph,Mostly Cloudy,2017-07-27,7,972
4948,77F,79%,9mph,Cloudy,2017-07-27,8,1376
4949,79F,79%,10mph,Cloudy,2017-07-27,9,668
4950,82F,74%,10mph,Cloudy,2017-07-27,10,447
4951,83F,72%,8mph,Cloudy,2017-07-27,11,578
4952,83F,69%,10mph,Cloudy,2017-07-27,12,642
4953,85F,67%,8mph,Cloudy,2017-07-27,13,640
4954,84F,74%,9mph,Cloudy,2017-07-27,14,644
4955,85F,72%,8mph,Cloudy,2017-07-27,15,771
4956,84F,76%,9mph,Cloudy,2017-07-27,16,1046
4957,84F,76%,10mph,Cloudy,2017-07-27,17,1739
4958,83F,79%,7mph,Cloudy,2017-07-27,18,1515
4959,83F,79%,7mph,Light Rain with Thunder,2017-07-27,19,1047
4960,82F,82%,6mph,Cloudy,2017-07-27,20,763
4961,81F,85%,7mph,Partly Cloudy,2017-07-27,21,467
4962,80F,87%,7mph,Mostly Cloudy,2017-07-27,22,366
4963,79F,90%,5mph,Mostly Cloudy,2017-07-28,23,28
4964,79F,84%,5mph,Light Rain,2017-07-28,0,98
4965,79F,84%,8mph,Fair,2017-07-28,1,53
4966,77F,88%,8mph,Fair,2017-07-28,2,55
4967,77F,84%,5mph,Mostly Cloudy,2017-07-28,3,8
4968,76F,87%,7mph,Mostly Cloudy,2017-07-28,4,20
4969,76F,91%,3mph,Cloudy,2017-07-28,5,89
4970,78F,84%,6mph,Mostly Cloudy,2017-07-28,6,346
4971,79F,82%,3mph,Cloudy,2017-07-28,7,825
4972,80F,85%,3mph,Cloudy,2017-07-28,8,1198
4973,81F,82%,0mph,Light Rain,2017-07-28,9,657
4974,80F,90%,7mph,Light Rain,2017-07-28,10,397
4975,77F,94%,6mph,Light Rain with Thunder,2017-07-28,11,330
4976,76F,97%,13mph,Cloudy,2017-07-28,12,105
4977,76F,97%,6mph,Rain,2017-07-28,13,146
4978,74F,97%,10mph,Heavy T-Storm,2017-07-28,14,314
4979,73F,96%,13mph,Heavy Rain,2017-07-28,15,91
4980,72F,97%,13mph,T-Storm,2017-07-28,16,82
4981,73F,96%,8mph,Light Rain with Thunder,2017-07-28,17,210
4982,74F,93%,8mph,Cloudy,2017-07-28,18,182
4983,74F,91%,8mph,Cloudy,2017-07-28,19,192
4984,72F,100%,0mph,Heavy Rain,2017-07-28,20,168
4985,73F,93%,8mph,Light Rain,2017-07-28,21,91
4986,73F,96%,16mph,Light Rain,2017-07-28,22,41
4987,72F,97%,22mph,Heavy Rain / Windy,2017-07-29,23,343
4988,71F,96%,14mph,Light Rain,2017-07-29,0,10
4989,71F,96%,16mph,Cloudy,2017-07-29,1,5
4990,71F,93%,14mph,Thunder in the Vicinity,2017-07-29,2,37
4991,72F,93%,10mph,Light Rain,2017-07-29,3,23
4992,72F,91%,13mph,Cloudy,2017-07-29,4,11
4993,72F,87%,12mph,Cloudy,2017-07-29,5,21
4994,72F,87%,16mph,Mostly Cloudy,2017-07-29,6,56
